Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,90.790001,91.699997,90.620003,90.660004,85.461609,90805013
2023-02-07,90.750000,91.589996,90.139999,91.489998,86.244011,89021688
2023-02-08,91.669998,92.809998,91.550003,92.320000,87.026421,137249480
2023-02-09,92.720001,93.230003,91.269997,91.269997,86.036629,170150371
2023-02-10,91.750000,92.300003,91.150002,92.080002,86.800186,78985829
2023-02-13,91.889999,94.000000,91.169998,94.000000,88.610092,107279664
2023-02-14,96.000000,98.459999,94.730003,97.220001,91.645462,142385013
2023-02-15,98.669998,99.599998,97.930000,99.220001,93.530785,105776862
2023-02-16,101.099998,103.059998,100.385002,101.519997,95.698898,166933806
2023-02-17,101.279999,102.919998,101.120003,102.379997,96.509590,129690160
2023-02-20,102.980003,103.019997,101.779999,102.760002,96.867805,104746673
2023-02-21,102.879997,103.239998,101.220001,101.660004,95.830879,93005327
2023-02-22,101.620003,101.820000,100.010002,100.500000,94.737389,121884834
2023-02-23,99.730003,100.519997,98.910004,99.000000,93.323395,121912363
2023-02-24,98.860001,99.930000,98.699997,99.180000,93.493073,167371777
2023-02-27,98.489998,101.279999,98.459999,100.720001,94.944771,102949719
2023-02-28,100.940002,102.120003,99.776001,99.779999,94.058670,128414888
2023-03-01,100.120003,100.820000,99.620003,100.059998,94.322617,200473821
2023-03-02,99.070000,100.239998,98.820000,99.599998,93.888992,135929871
2023-03-03,99.790001,101.211998,99.400002,100.480003,94.718536,85018437
2023-03-06,100.919998,101.320000,100.413002,101.220001,95.416107,74607463
2023-03-07,99.500000,100.019997,98.610001,98.699997,93.040596,121365615
2023-03-08,97.959999,99.209999,97.690002,98.720001,93.059456,127641791
2023-03-09,98.449997,99.330002,97.220001,98.699997,93.040596,85757772
2023-03-10,96.839996,100.379997,96.580002,98.559998,92.908623,120673115
2023-03-13,98.440002,98.440002,95.419998,95.680000,90.193764,113057400
2023-03-14,95.440002,96.599998,95.059998,96.180000,90.665092,81913489
2023-03-15,95.940002,97.250000,93.839996,94.019997,88.628944,117863874
2023-03-16,94.790001,94.820000,92.199997,92.669998,87.356354,91732121
2023-03-17,92.820000,93.070000,90.059998,90.370003,85.188240,281245225
2023-03-20,90.639999,92.900002,89.154999,92.470001,87.167824,89447100
2023-03-21,92.489998,92.879997,91.120003,92.669998,87.356354,60642973
2023-03-22,92.320000,92.342003,90.750000,91.379997,86.140320,88895603
2023-03-23,91.190002,91.529999,90.500000,90.800003,85.593582,317016005
2023-03-24,90.699997,90.820000,88.160004,88.580002,83.500877,71231928
2023-03-27,89.150002,89.570000,88.739998,89.099998,83.991058,39828251
2023-03-28,89.239998,89.400002,88.059998,88.949997,83.849655,282580401
2023-03-29,88.820000,90.169998,88.279999,89.830002,84.679199,43675062
2023-03-30,89.699997,90.004997,89.059998,89.540001,84.405830,61347963
2023-03-31,89.459999,89.809998,89.070000,89.300003,84.179588,100212320
2023-04-03,89.629997,90.355003,89.000000,89.459999,84.330414,135193291
2023-04-04,89.599998,89.610001,87.199997,87.480003,82.463951,85538042
2023-04-05,88.000000,90.779999,87.260002,89.449997,84.320984,105794192
2023-04-06,89.540001,91.820000,89.470001,91.470001,86.225166,64176006
2023-04-11,91.989998,92.489998,91.349998,92.089996,86.809608,57229765
2023-04-12,92.230003,93.410004,91.730003,92.000000,86.724770,53358463
2023-04-13,91.379997,92.250000,90.989998,91.809998,86.545662,39953102
2023-04-14,92.139999,92.594002,91.398003,91.970001,86.696495,39113736
2023-04-17,92.010002,93.348000,91.820000,92.709999,87.394058,70447442
2023-04-18,93.000000,93.320000,91.650002,92.010002,86.734200,39878516
2023-04-19,91.019997,91.523003,90.629997,90.790001,85.584152,101970362
2023-04-20,90.790001,90.839996,89.669998,89.809998,84.660347,106663174
2023-04-21,89.919998,90.730003,89.620003,90.660004,85.461609,55648832
2023-04-24,90.529999,91.000000,89.680000,89.680000,84.537804,64263404
2023-04-25,90.599998,92.160004,90.400002,91.279999,86.046059,49909571
2023-04-26,91.250000,95.360001,91.058998,94.279999,88.874039,313966513
2023-04-27,94.739998,96.440002,92.620003,95.900002,90.401154,107226226
2023-04-28,96.500000,96.769997,95.336998,95.900002,90.401154,61648879
2023-05-02,95.059998,95.800003,93.519997,93.690002,88.317871,70635328
2023-05-03,93.900002,97.050003,93.830002,96.160004,90.646240,78677945
2023-05-04,95.900002,96.699997,94.459999,94.519997,89.100273,72583268
2023-05-05,95.440002,96.349998,94.320000,95.019997,89.571602,51019812
2023-05-09,95.059998,95.610001,94.089996,94.279999,88.874039,100337887
2023-05-10,94.260002,94.559998,92.300003,92.750000,87.431770,61530317
2023-05-11,null,null,null,null,null,null
2023-05-12,90.449997,90.790001,89.080002,89.860001,84.707481,98020713
2023-05-15,90.599998,90.760002,88.910004,90.029999,84.867729,80771268
2023-05-16,86.099998,87.870003,81.019997,83.330002,78.551910,316558219
2023-05-17,82.860001,84.629997,82.010002,82.339996,77.618668,151949787
2023-05-18,82.209999,83.300003,81.800003,82.940002,78.184273,174278108
2023-05-19,83.389999,83.599998,81.830002,83.089996,78.325661,90973049
2023-05-22,83.449997,83.699997,81.510002,81.650002,76.968239,103968621
2023-05-23,81.949997,84.550003,81.760002,84.080002,79.258904,92822314
2023-05-24,83.669998,83.949997,82.790001,83.389999,78.608467,88426241
2023-05-25,83.589996,83.589996,81.059998,81.059998,76.412064,93563633
2023-05-26,80.330002,80.400002,78.439003,79.470001,74.913239,112386537
2023-05-30,79.180000,79.980003,74.376999,77.750000,73.291862,149419856
2023-05-31,77.489998,78.900002,76.250000,76.370003,71.990990,443419046
2023-06-01,76.779999,77.080002,75.690002,76.129997,71.764748,89250504
2023-06-02,76.269997,77.639999,74.099998,75.629997,71.293419,139987110
2023-06-05,77.629997,78.730003,77.040001,77.919998,73.452110,116916260
2023-06-06,76.699997,77.470001,76.129997,76.919998,72.509453,87071220
2023-06-07,76.470001,79.849998,76.269997,78.480003,73.980003,103678829
2023-06-08,75.019997,75.680000,73.959999,74.150002,74.150002,107228435
2023-06-09,74.480003,75.430000,74.400002,74.879997,74.879997,93363211
2023-06-12,74.839996,75.101997,72.849998,72.849998,72.849998,78914740
2023-06-13,73.500000,73.680000,71.709999,72.430000,72.430000,93712598
2023-06-14,72.000000,75.699997,71.910004,72.839996,72.839996,202407577
2023-06-15,73.029999,74.099998,72.373001,73.860001,73.860001,80011992
2023-06-16,74.129997,74.510002,73.330002,73.709999,73.709999,324314446
2023-06-19,74.440002,74.910004,73.680000,74.139999,74.139999,37256549
2023-06-20,74.019997,74.099998,73.000000,73.000000,73.000000,65132002
2023-06-21,72.300003,72.970001,72.129997,72.730003,72.730003,63341120
2023-06-22,72.239998,72.610001,71.470001,71.900002,71.900002,57346348
2023-06-23,71.820000,73.029999,71.650002,72.690002,72.690002,66312986
2023-06-26,72.690002,72.849998,70.059998,70.059998,70.059998,130509926
2023-06-27,70.449997,72.669998,70.150002,72.650002,72.650002,106320649
2023-06-28,73.410004,74.419998,73.290001,73.660004,73.660004,104565880
2023-06-29,74.000000,74.379997,73.199997,74.339996,74.339996,63365637
2023-06-30,74.470001,74.769997,73.809998,73.970001,73.970001,75700295
2023-07-03,74.239998,75.309998,73.970001,74.320000,74.320000,50009164
2023-07-04,74.410004,74.860001,73.660004,73.660004,73.660004,45418677
2023-07-05,73.449997,74.438004,72.250000,72.669998,72.669998,139320901
2023-07-06,71.989998,72.599998,70.620003,70.739998,70.739998,144399760
2023-07-07,70.820000,70.860001,69.849998,70.709999,70.709999,57910936
2023-07-10,70.980003,71.309998,70.269997,70.639999,70.639999,73143632
2023-07-11,70.349998,71.070000,69.730003,71.040001,71.040001,124890951
2023-07-12,71.470001,72.699997,71.309998,72.650002,72.650002,412049065
2023-07-13,72.680000,72.889999,71.839996,71.930000,71.930000,124401420
2023-07-14,72.209999,73.180000,72.119003,72.199997,72.199997,89572369
2023-07-17,72.680000,73.230003,71.889999,71.889999,71.889999,108410283
2023-07-18,72.199997,72.199997,70.480003,71.419998,71.419998,73208193
2023-07-19,72.410004,73.889999,72.019997,73.449997,73.449997,66742762
2023-07-20,73.910004,74.220001,73.290001,73.870003,73.870003,117582417
2023-07-21,73.809998,74.080002,73.059998,73.510002,73.510002,55119386
2023-07-24,74.500000,77.279999,74.421997,76.510002,76.510002,150560525
2023-07-25,75.639999,77.379997,75.209999,75.930000,75.930000,136890855
2023-07-26,75.699997,78.070000,75.309998,77.529999,77.529999,80493470
2023-07-27,78.070000,78.330002,76.160004,76.160004,76.160004,237215489
2023-07-28,76.000000,76.250000,75.459999,75.750000,75.750000,812501184
2023-07-31,75.750000,75.900002,74.199997,74.430000,74.430000,72603112
2023-08-01,74.099998,74.559998,73.550003,73.879997,73.879997,43545620
2023-08-02,73.720001,77.032997,72.239998,73.900002,73.900002,162238786
2023-08-03,73.199997,73.610001,72.370003,72.370003,72.370003,437653108
2023-08-04,72.610001,73.699997,72.250000,73.620003,73.620003,104344748
2023-08-07,73.510002,73.849998,72.440002,72.680000,72.680000,74486698
2023-08-08,72.800003,72.919998,71.739998,71.959999,71.959999,186422110
2023-08-09,72.480003,72.580002,71.790001,72.580002,72.580002,260053185
2023-08-10,72.820000,73.180000,72.480003,73.180000,73.180000,92313517
2023-08-11,73.080002,73.500000,72.599998,72.699997,72.699997,76705224
2023-08-14,72.610001,72.790001,71.989998,72.190002,72.190002,110340596
2023-08-15,71.940002,72.129997,70.739998,70.930000,70.930000,34353257
2023-08-16,71.000000,71.120003,70.370003,70.739998,70.739998,71544787
2023-08-17,70.589996,70.910004,69.900002,70.830002,70.830002,33523874
2023-08-18,70.980003,71.889999,70.379997,70.900002,70.900002,46217281
2023-08-21,70.650002,71.199997,70.349998,70.360001,70.360001,33603267
2023-08-22,70.830002,71.510002,70.480003,70.629997,70.629997,57804599
2023-08-23,70.449997,71.540001,70.449997,71.540001,71.540001,125036364
